GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
MIR100,406892,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MIR124A-3,723951,Alzheimer Disease,MESH:D000544,therapeutic,,28867212
MIR146A,406938,Alzheimer Disease,MESH:D000544,marker/mechanism,,22099153|25992776
MIR296,407022,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MIR3622B,100500871,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MIR375,494324,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MIR4467,100616367,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MIR505,574508,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MIR708,100126333,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MIR766,768218,Alzheimer Disease,MESH:D000544,marker/mechanism,,25992776
MPO,4353,Alzheimer Disease,MESH:D000544,marker/mechanism,104300,15023809
MS4A4A,51338,Alzheimer Disease,MESH:D000544,marker/mechanism,,21460841
MTHFR,4524,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
NCK2,8440,Alzheimer Disease,MESH:D000544,marker/mechanism,,33589840
NCSTN,23385,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
NECTIN2,5819,Alzheimer Disease,MESH:D000544,marker/mechanism,,29107063|30319691|30320580
NOS3,4846,Alzheimer Disease,MESH:D000544,marker/mechanism,104300,10514107|16813604
NPY,4852,Alzheimer Disease,MESH:D000544,marker/mechanism,,11709213
PCDH11X,27328,Alzheimer Disease,MESH:D000544,marker/mechanism,,19136949
PGRMC1,10857,Alzheimer Disease,MESH:D000544,marker/mechanism,,25390692
PICALM,8301,Alzheimer Disease,MESH:D000544,marker/mechanism,,19734902|21460841
PILRA,29992,Alzheimer Disease,MESH:D000544,marker/mechanism,,33589840
PLAU,5328,Alzheimer Disease,MESH:D000544,marker/mechanism,104300,
PLCG2,5336,Alzheimer Disease,MESH:D000544,marker/mechanism,,28714976
PPARG,5468,Alzheimer Disease,MESH:D000544,marker/mechanism,,15993441|16407166|30328325
PRNP,5621,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
PSEN1,5663,Alzheimer Disease,MESH:D000544,marker/mechanism,,15622541|16449385|16651627|17192785|17573346|17962197|18227305|22507317|25352456|25714973|27117003|27567873|28448946|31467635|7596406
PSEN1,5663,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,marker/mechanism,607822,
PSEN2,5664,Alzheimer Disease,MESH:D000544,marker/mechanism,,12925374|16651627|9050898
PSEN2,5664,Alzheimer disease type 4,MESH:C536596,marker/mechanism,606889,
PTK2B,2185,Alzheimer Disease,MESH:D000544,marker/mechanism,,33589840
PYY,5697,Alzheimer Disease,MESH:D000544,marker/mechanism,,11709213
RELN,5649,Alzheimer Disease,MESH:D000544,marker/mechanism,,20610758
SLC2A4,6517,Alzheimer Disease,MESH:D000544,marker/mechanism,,24055495
SLC30A4,7782,Alzheimer Disease,MESH:D000544,marker/mechanism,,16580781
SLC30A6,55676,Alzheimer Disease,MESH:D000544,marker/mechanism,,16580781
SNAR-I,100170222,Alzheimer Disease,MESH:D000544,marker/mechanism,,30320580
SOD2,6648,Alzheimer Disease,MESH:D000544,marker/mechanism,,19374891
SPRED2,200734,Alzheimer Disease,MESH:D000544,marker/mechanism,,33589840
TF,7018,Alzheimer Disease,MESH:D000544,marker/mechanism,,15060098|17192785
TFAM,7019,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
TNF,7124,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
TOMM40,10452,Alzheimer Disease,MESH:D000544,marker/mechanism,,27023435|29107063|30319691|30320580
TPI1,7167,Alzheimer Disease,MESH:D000544,marker/mechanism,,19374891
TPP1,1200,Alzheimer Disease,MESH:D000544,marker/mechanism,,10320038
TREM2,54209,Alzheimer Disease,MESH:D000544,marker/mechanism,,24663666|28714976
TSPAN14,81619,Alzheimer Disease,MESH:D000544,marker/mechanism,,33589840
VEGFA,7422,Alzheimer Disease,MESH:D000544,marker/mechanism,,15732116
VSNL1,7447,Alzheimer Disease,MESH:D000544,marker/mechanism,,25806004
WWOX,51741,Alzheimer Disease,MESH:D000544,marker/mechanism,,30820047
