GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
LOX,4015,Hepatitis C,MESH:D006526,marker/mechanism,,16023247
LOXL2,4017,Hepatitis B,MESH:D006509,marker/mechanism,,16023247
LOXL2,4017,Hepatitis C,MESH:D006526,marker/mechanism,,16023247
LPL,4023,Hepatitis C,MESH:D006526,therapeutic,,17517063
MET,4233,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,,22879914
MIR100,406892,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR122,406906,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR125B2,406912,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR1468,100302115,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR148A,406940,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR190A,406965,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR192,406967,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR193B,574455,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR194-2,406970,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR204,406987,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR28,407020,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR365A,100126355,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR365B,100126356,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR378A,494327,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR378I,100616259,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR455,619556,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR6881,102465530,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR885,100126334,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIR885,100126334,"Hepatitis B, Chronic",MESH:D019694,marker/mechanism,,27738331
MIR99A,407055,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MIRLET7C,406885,Hepatitis B,MESH:D006509,marker/mechanism,,28545106
MKI67,4288,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,,22879914
MT1A,4489,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,,25053573
OPRM1,4988,Hepatitis C,MESH:D006526,marker/mechanism,,12937158|17299060
PARP1,142,Hepatitis,MESH:D006505,marker/mechanism,,20561897
RIGI,23586,Hepatitis C,MESH:D006526,marker/mechanism,,20170495
SCARB1,949,Hepatitis C,MESH:D006526,marker/mechanism,,17517063
SLC10A1,6554,Hepatitis B,MESH:D006509,marker/mechanism,,25550158
SMAD2,4087,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,,22879914
SOD1,6647,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,,25053573
SPARC,6678,Hepatitis,MESH:D006505,marker/mechanism,,23408952
STAT3,6774,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,,22879914
STAT4,6775,Hepatitis B,MESH:D006509,marker/mechanism,,27444301
STS,412,"Hepatitis, Alcoholic",MESH:D006519,marker/mechanism,,26220752
SULT1E1,6783,"Hepatitis, Alcoholic",MESH:D006519,marker/mechanism,,26220752
TF,7018,Hepatitis,MESH:D006505,marker/mechanism,,21907177
TFF3,7033,"Hepatitis, Animal",MESH:D006520,marker/mechanism,,18559427
TGFB1,7040,"Hepatitis, Autoimmune",MESH:D019693,marker/mechanism,,21227906
TGFB1,7040,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,,22879914
TLR7,51284,Hepatitis C,MESH:D006526,marker/mechanism,,27385120
TLR8,51311,Hepatitis C,MESH:D006526,marker/mechanism,,27385120
TNF,7124,Hepatitis,MESH:D006505,marker/mechanism,,25200604
TNF,7124,"Hepatitis, Alcoholic",MESH:D006519,marker/mechanism,,12586603
UBD,10537,"Hepatitis, Animal",MESH:D006520,marker/mechanism,,18559427
UBE2L3,7332,"Hepatitis B, Chronic",MESH:D019694,marker/mechanism,,24162738
