GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
FAAH,2166,Obesity,MESH:D009765,marker/mechanism,,19103437|20716455
FASN,2194,Obesity,MESH:D009765,marker/mechanism,,20882379
FCGR3B,2215,Obesity,MESH:D009765,marker/mechanism,,29035695
FGF21,26291,Obesity,MESH:D009765,therapeutic,,24184811|26797127
FGGY,55277,Obesity,MESH:D009765,marker/mechanism,,29220483
FOS,2353,Obesity,MESH:D009765,marker/mechanism,,27071101
FOXO3,2309,Obesity,MESH:D009765,marker/mechanism,,23954404
FTL,2512,Obesity,MESH:D009765,marker/mechanism,,20882379
FTO,79068,Obesity,MESH:D009765,marker/mechanism,,17496892|19079260|19079261|19151714|19918250|21076408
FTO,79068,Pediatric Obesity,MESH:D063766,marker/mechanism,,25137265
GAS7,8522,Obesity,MESH:D009765,marker/mechanism,,19270708
GCG,2641,Obesity,MESH:D009765,therapeutic,,20065960
GFPT1,2673,Obesity,MESH:D009765,marker/mechanism,,20882379
GH1,2688,Obesity,MESH:D009765,marker/mechanism,,8923850
GHRL,51738,Obesity,MESH:D009765,marker/mechanism,601665,
GLUL,2752,Obesity,MESH:D009765,marker/mechanism,,20882379
GNAS,2778,Obesity,MESH:D009765,marker/mechanism,,17062894
GNB3,2784,Obesity,MESH:D009765,marker/mechanism,,15961981|16141801
GNPDA2,132789,Obesity,MESH:D009765,marker/mechanism,,19079261
GPR17,2840,Obesity,MESH:D009765,marker/mechanism,,34144038
GPR17,2840,Pediatric Obesity,MESH:D063766,marker/mechanism,,34144038
GPX1,2876,Obesity,MESH:D009765,marker/mechanism,,15184668
GPX3,2878,Obesity,MESH:D009765,marker/mechanism,,11328671|19270708
HADH,3033,Obesity,MESH:D009765,marker/mechanism,,20882379
HCRT,3060,Obesity,MESH:D009765,marker/mechanism,,27071101
HK2,3099,Obesity,MESH:D009765,marker/mechanism,,20882379
HMGB2,3148,Obesity,MESH:D009765,marker/mechanism,,20882379
HMOX1,3162,Obesity,MESH:D009765,marker/mechanism,,18334666|18375438|19171794
HOXB5,3215,Obesity,MESH:D009765,marker/mechanism,,22484627
HSD11B1,3290,Obesity,MESH:D009765,marker/mechanism,,17628001|21786805
HSD11B1,3290,"Obesity, Abdominal",MESH:D056128,marker/mechanism,,15199296
HSPA5,3309,Obesity,MESH:D009765,marker/mechanism,,26655953
HTR2A,3356,Obesity,MESH:D009765,marker/mechanism,,17097612
HTR2C,3358,Obesity,MESH:D009765,marker/mechanism,,17702092|19142110
ICAM1,3383,Obesity,MESH:D009765,marker/mechanism,,11782876
IDO1,3620,Obesity,MESH:D009765,marker/mechanism,,27020609
IGF2,3481,Obesity,MESH:D009765,marker/mechanism,,11528401
IGFBP2,3485,Obesity,MESH:D009765,marker/mechanism,,22537059
IL6,3569,Obesity,MESH:D009765,marker/mechanism,,20141834|24042701
IL7,3574,Obesity,MESH:D009765,therapeutic,,20376352
INPP5E,56623,Obesity,MESH:D009765,marker/mechanism,,19668215
INS,3630,Obesity,MESH:D009765,marker/mechanism,,11528401|2777199|29035695|8923850
IRS1,3667,Obesity,MESH:D009765,marker/mechanism,,23954404
ITGAM,3684,Obesity,MESH:D009765,marker/mechanism,,29035695
KCNMA1,3778,Obesity,MESH:D009765,marker/mechanism,,27605626
KCNMA1,3778,"Obesity, Morbid",MESH:D009767,marker/mechanism,,21708048
KCTD15,79047,Obesity,MESH:D009765,marker/mechanism,,19079261
KITL,17311,Obesity,MESH:D009765,marker/mechanism,,23954404
KSR2,283455,"Obesity, Morbid",MESH:D009767,marker/mechanism,,29273807
LACTB,114294,Obesity,MESH:D009765,marker/mechanism,,18344982
LBP,3929,Obesity,MESH:D009765,marker/mechanism,,23349936
LDLR,3949,Obesity,MESH:D009765,marker/mechanism,,25554529
LEP,3952,Obesity,MESH:D009765,marker/mechanism|therapeutic,,17517446|18515891|19913045|20122948|24042701|25086370|25551525|25554529|26186301|27071101|28698385|31313498|9202122|9502777|9826672
LEP,3952,"Obesity, Morbid",MESH:D009767,marker/mechanism|therapeutic,,15070752|9500540
LEPR,3953,Obesity,MESH:D009765,marker/mechanism,,17065336|17229951|19913045|20567778|22276206|23563609|24263156|25222487|29743445|30689673|30993381|3519326|35235096|35472412
LEPR,3953,"Obesity, Morbid",MESH:D009767,marker/mechanism,,9537324
LPL,4023,Obesity,MESH:D009765,marker/mechanism,,18344982
MC4R,4160,Obesity,MESH:D009765,marker/mechanism,,17143585|18454148|19079260|19079261|19151714|23251400
MC4R,4160,"Obesity, Morbid",MESH:D009767,marker/mechanism,,29273807|29311635
ME1,4199,Obesity,MESH:D009765,marker/mechanism,,19270708
MIR130A,406919,Obesity,MESH:D009765,marker/mechanism,,28242765
MIR130B,406920,Obesity,MESH:D009765,marker/mechanism,,28242765
MIR184,406960,Obesity,MESH:D009765,marker/mechanism,,23954404
MIR21,406991,Obesity,MESH:D009765,marker/mechanism,,23954404
MIR34A,407040,Obesity,MESH:D009765,marker/mechanism,,23834033
MMP9,4318,Obesity,MESH:D009765,marker/mechanism,,21156398
MMUT,4594,Obesity,MESH:D009765,marker/mechanism,,20882379
MRC1,4360,Obesity,MESH:D009765,marker/mechanism,,29035695
MTCH2,23788,Obesity,MESH:D009765,marker/mechanism,,19079261
NAMPT,10135,Obesity,MESH:D009765,marker/mechanism,,23834033
NEGR1,257194,Obesity,MESH:D009765,marker/mechanism,,19079261
NEIL1,79661,Obesity,MESH:D009765,marker/mechanism,,16446448|21285402
NHLH2,4808,Obesity,MESH:D009765,marker/mechanism,,20808804
NPC1,4864,Obesity,MESH:D009765,marker/mechanism,,19151714
NPY1R,4886,Obesity,MESH:D009765,marker/mechanism,,20975297
NPY5R,4889,Obesity,MESH:D009765,marker/mechanism,,10849579
NQO1,1728,Obesity,MESH:D009765,marker/mechanism,,17405841
NR0B2,8431,Obesity,MESH:D009765,marker/mechanism,601665,
NR1I2,8856,Obesity,MESH:D009765,marker/mechanism,,20869355
NR1I3,9970,Obesity,MESH:D009765,marker/mechanism,,20869355
NTRK2,4915,Obesity,MESH:D009765,marker/mechanism,,15494731
NTRK2,4915,"Obesity, Hyperphagia, and Developmental Delay",MESH:C563938,marker/mechanism,613886,
OGG1,4968,Obesity,MESH:D009765,marker/mechanism,,29709520
PACS1,55690,Obesity,MESH:D009765,marker/mechanism,,23563609
PARP1,142,Obesity,MESH:D009765,marker/mechanism,,20561897
PCK1,5105,Obesity,MESH:D009765,marker/mechanism,,20882379
PCSK1,5122,Obesity,MESH:D009765,marker/mechanism,,18604207
PEX11A,8800,Obesity,MESH:D009765,marker/mechanism,,30585412
PFKFB3,5209,Obesity,MESH:D009765,marker/mechanism,,20882379
PLIN1,5346,Obesity,MESH:D009765,marker/mechanism,,15001633
PMCH,5367,Obesity,MESH:D009765,marker/mechanism,,12355323
POMC,5443,Obesity,MESH:D009765,marker/mechanism,601665,16289378|19153526
PPARA,5465,Abdominal obesity metabolic syndrome,MESH:C535554,marker/mechanism,,15309680
PPARA,5465,Obesity,MESH:D009765,marker/mechanism,,11089532|30738174
PPARD,5467,Obesity,MESH:D009765,therapeutic,,16168052|20176998
PPARG,5468,Obesity,MESH:D009765,marker/mechanism,601665,11089532|28242765
PPARGC1B,133522,Obesity,MESH:D009765,marker/mechanism,,30738174
PPM1L,151742,Obesity,MESH:D009765,marker/mechanism,,18344982
PRKAR1A,5573,Obesity,MESH:D009765,marker/mechanism,,29367455
PRKAR2B,5577,Obesity,MESH:D009765,marker/mechanism,,20975297
PRKCH,5583,Obesity,MESH:D009765,marker/mechanism,,23563609
PTGS2,5743,Obesity,MESH:D009765,marker/mechanism,,21156398
PTPN1,5770,Obesity,MESH:D009765,marker/mechanism,,10744717|20075852
PYY,5697,Obesity,MESH:D009765,marker/mechanism,,16368708
RAB21,23011,Obesity,MESH:D009765,marker/mechanism,,29273807
RAI1,10743,Obesity,MESH:D009765,marker/mechanism,,15459175|19116176
RAPGEF3,10411,Obesity,MESH:D009765,marker/mechanism,,29273807
RMST,196475,Obesity,MESH:D009765,marker/mechanism,,23563609
SAT1,6303,Obesity,MESH:D009765,marker/mechanism,,20882379
SCD1,20249,Obesity,MESH:D009765,marker/mechanism,,20882379
SDC3,9672,Obesity,MESH:D009765,marker/mechanism,601665,
SERPINE1,5054,Obesity,MESH:D009765,marker/mechanism,,23819014
SH2B1,25970,Obesity,MESH:D009765,marker/mechanism,,19079261
SIRT1,23411,Obesity,MESH:D009765,therapeutic,,24184811
SIRT3,23410,Obesity,MESH:D009765,marker/mechanism,,23956348
SLC16A7,9194,Obesity,MESH:D009765,marker/mechanism,,20882379
SLC22A1,6580,Obesity,MESH:D009765,marker/mechanism,,20956498
SLC22A2,6582,Obesity,MESH:D009765,marker/mechanism,,27401566
SLC22A3,6581,Obesity,MESH:D009765,marker/mechanism,,27401566
SOD1,6647,Obesity,MESH:D009765,marker/mechanism,,24042701
SOD2,6648,Obesity,MESH:D009765,marker/mechanism,,16317704|23956348|30738174
SREBF1,6720,Obesity,MESH:D009765,marker/mechanism,,10900012
STS,412,Obesity,MESH:D009765,therapeutic,,24497646
SUCLA2,8803,Obesity,MESH:D009765,marker/mechanism,,20882379
SUCLG2,8801,Obesity,MESH:D009765,marker/mechanism,,20882379
TBC1D1,23216,Obesity,MESH:D009765,marker/mechanism,,16893906|18325908|18931681
TF,7018,Obesity,MESH:D009765,marker/mechanism,,20882379
TFRC,7037,Obesity,MESH:D009765,marker/mechanism,,17062801|20882379
TMEM18,129787,Obesity,MESH:D009765,marker/mechanism,,19079261
TNF,7124,Obesity,MESH:D009765,marker/mechanism,,11328671|20141834|29035695|9502777
TNFRSF1B,7133,Obesity,MESH:D009765,marker/mechanism,,11782876
TRPV1,7442,Obesity,MESH:D009765,marker/mechanism,,17347480
TUB,7275,RETINAL DYSTROPHY AND OBESITY,OMIM:616188,marker/mechanism,616188,
UCP1,7350,Obesity,MESH:D009765,therapeutic,,15592485
UCP2,7351,Obesity,MESH:D009765,marker/mechanism,,11381268
UCP3,7352,Obesity,MESH:D009765,marker/mechanism,601665,
UQCRC2,7385,Obesity,MESH:D009765,marker/mechanism,,20882379
VGF,7425,Obesity,MESH:D009765,therapeutic,,12177191
VLDLR,7436,Obesity,MESH:D009765,marker/mechanism,,20975297
WNT3A,89780,Obesity,MESH:D009765,marker/mechanism,,28242765
ZBTB7B,51043,Obesity,MESH:D009765,marker/mechanism,,29273807
ZC3H10,84872,Obesity,MESH:D009765,therapeutic,,31775033
ZFHX3,463,Obesity,MESH:D009765,marker/mechanism,,29273807
ZFR2,23217,Obesity,MESH:D009765,marker/mechanism,,29273807
ZNF169,169841,Obesity,MESH:D009765,marker/mechanism,,29273807
