GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
ABCA12,26154,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.05,,11305809|1585935|17984431|3626302|6760236|6897822
ABCA2,20,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.59,,36513242
ABCA3,21,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.87,,11305809|1585935|17984431|3626302|6760236|6897822
ABCA4,24,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.78,,36513242
ABCA6,23460,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.73,,36513242
ABCA7,10347,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.13,,9626627
ABCA8,10351,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.11,,9626627
ABCA8,10351,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.71,,36513242
ABCA8A,217258,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.60,,36513242
ABCB1,5243,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,2.84,,11305809|1585935|17984431|3626302|6760236|6897822
ABCB1,5243,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.54,,36513242
ABCB10,23456,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.05,,11305809|1585935|17984431|3626302|6760236|6897822
ABCB4,5244,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.32,,11305809|1585935|17984431|3626302|6760236|6897822
ABCB5,340273,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.18,,11305809|1585935|17984431|3626302|6760236|6897822
ABCC1,4363,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.12,,11305809|1585935|17984431|3626302|6760236|6897822
ABCC2,1244,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,alfacalcidol,7.25,,11770836
ABCC2,1244,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,7.25,,11305809|1585935|17984431|3626302|6760236|6897822
ABCC2,1244,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.68,,36513242
ABCC3,8714,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,alfacalcidol,7.78,,11770836
ABCC3,8714,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,7.78,,11305809|1585935|17984431|3626302|6760236|6897822
ABCC3,8714,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.85,,36513242
ABCC4,10257,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,alfacalcidol,8.12,,11770836
ABCC4,10257,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,8.12,,11305809|1585935|17984431|3626302|6760236|6897822
ABCC4,10257,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.95,,36513242
ABCC6,368,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.42,,36513242
ABCC8,6833,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.49,,36513242
ABCC9,10060,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.44,,36513242
ABCD2,225,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.52,,36513242
ABCD3,5825,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.62,,11305809|1585935|17984431|3626302|6760236|6897822
ABCD3,5825,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.34,,36513242
ABCF1,23,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.47,,36513242
ABCF2,10061,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.05,,9626627
ABCF2,10061,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.65,,36513242
ABCF3,55324,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.89,,36513242
ABCG1,9619,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.22,,36513242
ABCG2,9429,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.80,,36513242
ABCG2A,735312,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.37,,36513242
ABCG3L1,289453,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.51,,36513242
ABCG3L3,305142,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.48,,36513242
ABCG4,64137,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.78,,36513242
ABCG8,64241,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.74,,9626627
ABCG8,64241,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.34,,36513242
ABHD10,55347,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.19,,9626627
ABHD14A,25864,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.81,,36513242
ABHD16B,140701,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.65,,11305809|1585935|17984431|3626302|6760236|6897822
ABHD17B,51104,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.86,,36513242
ABHD3,171586,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.93,,11305809|1585935|17984431|3626302|6760236|6897822
ABHD3,171586,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.65,,36513242
ABHD6,57406,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.59,,36513242
ABI3BP,25890,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.83,,11305809|1585935|17984431|3626302|6760236|6897822
ABI3BP,25890,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.55,,36513242
ABL1,25,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.62,,11305809|1585935|17984431|3626302|6760236|6897822
ABLIM1,3983,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.68,,11305809|1585935|17984431|3626302|6760236|6897822
ABLIM3,22885,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.50,,36513242
ABR,29,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.02,,9626627
ABTB1,80325,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.09,,11305809|1585935|17984431|3626302|6760236|6897822
ABTB2,25841,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.59,,36513242
ACAA2,10449,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.24,,36513242
ACACA,31,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.85,,36513242
ACACB,32,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.24,,36513242
ACAD10,80724,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.74,,36513242
ACAD11,84129,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.55,,36513242
ACADL,33,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.76,,9626627
ACADM,34,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.46,,11305809|1585935|17984431|3626302|6760236|6897822
ACADM,34,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.17,,36513242
ACADSB,36,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.79,,11305809|1585935|17984431|3626302|6760236|6897822
ACADVL,37,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.36,,36513242
ACAP2,23527,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.80,,36513242
ACAP3,116983,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.31,,9626627
ACAT1,38,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.26,,36513242
ACAT2,39,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.61,,9626627
ACAT2,39,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.21,,36513242
ACBD4,79777,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.93,,11305809|1585935|17984431|3626302|6760236|6897822
ACBD7,414149,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.14,,11305809|1585935|17984431|3626302|6760236|6897822
ACCS,84680,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.44,,9626627
ACE,1636,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.41,,9626627
ACE2,59272,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.14,,36513242
ACER1,125981,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.05,,36513242
ACER3,55331,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.78,,36513242
ACHE,43,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,2.93,,9626627
ACHE,43,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.51,,36513242
ACIN1,22985,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.87,,11305809|1585935|17984431|3626302|6760236|6897822
ACIN1,22985,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.59,,36513242
ACKR2,1238,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.87,,36513242
ACKR3,57007,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.67,,11305809|1585935|17984431|3626302|6760236|6897822
ACKR3,57007,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.39,,36513242
ACKR4,51554,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.84,,36513242
ACLY,47,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.50,,9626627
ACLY,47,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.10,,36513242
ACO1,48,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.66,,9626627
ACO1,48,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.25,,36513242
ACO2,50,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.69,,9626627
ACOT11,26027,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.05,,11305809|1585935|17984431|3626302|6760236|6897822
ACOT12,134526,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.12,,9626627
ACOT13,55856,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.59,,36513242
ACOT2,10965,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.28,,36513242
ACOT4,122970,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.51,,36513242
ACOT7,11332,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.50,,36513242
ACOX2,8309,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.74,,11305809|1585935|17984431|3626302|6760236|6897822
ACOX2,8309,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.46,,36513242
ACOX3,8310,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.99,,11305809|1585935|17984431|3626302|6760236|6897822
ACOXL,55289,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.29,,9626627
ACP3,55,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.57,,36513242
ACP5,54,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.54,,11305809|1585935|17984431|3626302|6760236|6897822
ACP6,51205,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.19,,9626627
ACR,49,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.56,,9626627
ACSBG2,81616,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.34,,9626627
ACSL1,2180,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.06,,36513242
ACSL3,2181,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.62,,11305809|1585935|17984431|3626302|6760236|6897822
ACSL3,2181,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.33,,36513242
ACSL4,2182,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.56,,9626627
ACSM1,116285,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.14,,9626627
ACSM3,6296,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.42,,36513242
ACSM5,54988,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.78,,36513242
ACSS2,55902,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.71,,9626627
ACSS2,55902,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.31,,36513242
ACSS3,79611,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.93,,11305809|1585935|17984431|3626302|6760236|6897822
ACSS3,79611,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.65,,36513242
ACT1,109776,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,5.36,,11305809|1585935|17984431|3626302|6760236|6897822
ACT79B,40444,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,6.89,,36513242
ACTA1,58,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,8.48,,9626627
ACTA1,58,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,8.48,,11305809|1585935|17984431|3626302|6760236|6897822
ACTA1,58,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.25,,36513242
ACTA2,59,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,2.91,,11305809|1585935|17984431|3626302|6760236|6897822
ACTA2,59,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.61,,36513242
ACTB,60,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcifediol,8.17,,6897822
ACTB,60,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,8.17,,11305809|1585935|17984431|3626302|6760236|6897822
ACTB,60,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.01,,36513242
ACTC,100531237,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,6.29,,9626627
ACTC1,70,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.47,,36513242
ACTG1,71,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.30,,36513242
ACTG2,72,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,9.13,,9626627
ACTG2,72,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,9.13,,11305809|1585935|17984431|3626302|6760236|6897822
ACTL10,170487,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.35,,36513242
ACTN3,89,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.74,,36513242
ACTN4,81,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.47,,36513242
ACTR3B,57180,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.87,,36513242
ACTRT2,140625,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.52,,9626627
ACVR2A,92,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.28,,9626627
ACVR2B,93,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.65,,36513242
ACVRL1,94,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.60,,36513242
ACY3,91703,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.78,,36513242
ACYP2,98,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.69,,36513242
ADA,100,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.26,,36513242
ADAL,75894,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.13,,36513242
ADAM11,4185,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.69,,36513242
ADAM12,8038,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.56,,36513242
ADAM19,8728,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.80,,11305809|1585935|17984431|3626302|6760236|6897822
ADAM19,8728,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.52,,36513242
ADAM2,2515,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.36,,11305809|1585935|17984431|3626302|6760236|6897822
ADAM22,53616,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.90,,11305809|1585935|17984431|3626302|6760236|6897822
ADAM22,53616,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.62,,36513242
ADAM28,10863,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.17,,11305809|1585935|17984431|3626302|6760236|6897822
ADAM28,10863,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.89,,36513242
ADAM29,11086,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,5.09,,9626627
ADAM33,80332,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.08,,11305809|1585935|17984431|3626302|6760236|6897822
ADAM7,8756,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.48,,9626627
ADAM8,101,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.77,,11305809|1585935|17984431|3626302|6760236|6897822
ADAM8,101,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.49,,36513242
ADAM9,8754,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.56,,36513242
ADAMTS1,9510,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.20,,36513242
ADAMTS12,81792,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.69,,36513242
ADAMTS14,140766,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.84,,36513242
ADAMTS15,170689,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.69,,36513242
ADAMTS18,170692,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.30,,9626627
ADAMTS18,170692,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.91,,36513242
ADAMTS19,171019,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.98,,36513242
ADAMTS20,80070,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.16,,11305809|1585935|17984431|3626302|6760236|6897822
ADAMTS20,80070,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.88,,36513242
ADAMTS3,9508,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.88,,36513242
ADAMTS4,9507,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.57,,36513242
ADAMTS5,11096,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.87,,9626627
ADAMTS6,11174,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.14,,9626627
ADAMTS9,56999,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.82,,11305809|1585935|17984431|3626302|6760236|6897822
ADAMTSL2,9719,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.72,,36513242
ADAMTSL3,57188,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.80,,36513242
ADAMTSL4,54507,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.64,,36513242
ADAMTSL5,339366,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.78,,36513242
ADAP2,55803,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.05,,9626627
ADAR,103,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.57,,36513242
ADARB1,104,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,3.90,,9626627
ADCK1,57143,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.50,,9626627
ADCK5,203054,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.84,,36513242
ADCY10P1,221442,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.57,,36513242
ADCY3,109,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.59,,36513242
ADCY5,111,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.52,,36513242
ADCY6,112,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.54,,36513242
ADCY7,113,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.74,,11305809|1585935|17984431|3626302|6760236|6897822
ADD1,118,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.55,,36513242
ADD2,119,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.10,,9626627
ADD2,119,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.70,,36513242
ADD3,120,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.42,,36513242
ADGB,79747,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.10,,36513242
ADGRA3,166647,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.75,,36513242
ADGRB2,576,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.99,,11305809|1585935|17984431|3626302|6760236|6897822
ADGRE3,84658,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,4.93,,11305809|1585935|17984431|3626302|6760236|6897822
ADGRE4,52614,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.32,,9626627
